,hole_cards,average_equity
0,AA,0.84410077
25,KK,0.816611778
48,QQ,0.791763096
69,JJ,0.767004008
88,TT,0.742255585
105,99,0.713496597
120,88,0.685171324
13,AKs,0.660624505
133,77,0.656508158
14,AQs,0.65142711
15,AJs,0.642316466
1,AKo,0.64196326
16,ATs,0.633436286
2,AQo,0.632174878
144,66,0.627553261
37,KQs,0.624936645
3,AJo,0.622482437
38,KJs,0.615696707
17,A9s,0.61466343
4,ATo,0.613085127
39,KTs,0.606976935
18,A8s,0.60560712
26,KQo,0.60450917
153,55,0.598412254
19,A7s,0.595550961
27,KJo,0.594673222
59,QJs,0.593761833
5,A9o,0.59299075
40,K9s,0.58838472
28,KTo,0.585406255
60,QTs,0.584936038
21,A5s,0.58451705
20,A6s,0.584380471
6,A8o,0.58332381
22,A4s,0.575869129
7,A7o,0.572508775
49,QJo,0.571935919
41,K8s,0.571075917
23,A3s,0.568176674
160,44,0.566696874
79,JTs,0.566507048
61,Q9s,0.566412404
29,K9o,0.565563277
42,K7s,0.562737733
50,QTo,0.562541934
9,A5o,0.56078703
8,A6o,0.560585698
24,A2s,0.560191419
43,K6s,0.55338864
10,A4o,0.551471671
62,Q8s,0.549381269
80,J9s,0.547315929
30,K8o,0.5470801
44,K5s,0.544817133
70,JTo,0.543392635
11,A3o,0.543191811
51,Q9o,0.542684431
31,K7o,0.538162928
45,K4s,0.535953671
165,33,0.534630632
12,A2o,0.534594385
63,Q7s,0.531755941
97,T9s,0.531710888
81,J8s,0.530348571
32,K6o,0.528148695
46,K3s,0.528115704
52,Q8o,0.524564993
64,Q6s,0.524427349
71,J9o,0.522914554
47,K2s,0.520125358
33,K5o,0.519020185
65,Q5s,0.515894704
98,T8s,0.514311577
82,J7s,0.513044029
34,K4o,0.50950144
66,Q4s,0.506970189
89,T9o,0.506715308
53,Q7o,0.505785152
72,J8o,0.504812362
168,22,0.50235313
35,K3o,0.501069794
113,98s,0.49945548
67,Q3s,0.499080028
54,Q6o,0.497922204
99,T7s,0.496949078
83,J6s,0.495564489
36,K2o,0.492461955
68,Q2s,0.491022305
84,J5s,0.48914855
55,Q5o,0.48880421
90,T8o,0.48816037
73,J7o,0.486321791
114,97s,0.482236522
85,J4s,0.480242576
100,T6s,0.479655028
56,Q4o,0.479237732
106,98o,0.472702818
86,J3s,0.472319394
57,Q3o,0.470726358
127,87s,0.4707177
91,T7o,0.469649301
74,J6o,0.467694647
115,96s,0.465090742
87,J2s,0.464223933
101,T5s,0.462417317
58,Q2o,0.462058879
75,J5o,0.460889835
102,T4s,0.45572736
107,97o,0.454319864
128,86s,0.453549032
76,J4o,0.451325307
92,T6o,0.451256668
116,95s,0.448024993
103,T3s,0.447777902
139,76s,0.444890763
77,J3o,0.442740962
121,87o,0.442334681
104,T2s,0.439669918
129,85s,0.436562893
108,96o,0.436046583
78,J2o,0.434028249
93,T5o,0.432882366
117,94s,0.429761344
140,75s,0.42793826
94,T4o,0.425679293
118,93s,0.424172624
122,86o,0.424049113
149,65s,0.422379447
130,84s,0.418472545
109,95o,0.417880041
95,T3o,0.417123901
119,92s,0.416080453
134,76o,0.415082544
141,74s,0.410025349
96,T2o,0.408407167
123,85o,0.405941486
157,54s,0.405461011
150,64s,0.404683658
131,83s,0.400703587
110,94o,0.398373631
135,75o,0.397021232
132,82s,0.395044981
142,73s,0.392374742
111,93o,0.392279824
145,65o,0.391306963
158,53s,0.388330622
151,63s,0.38716674
124,84o,0.386575664
112,92o,0.383596343
136,74o,0.377824051
163,43s,0.377666316
143,72s,0.374096697
154,54o,0.373436521
146,64o,0.372365768
159,52s,0.370403278
152,62s,0.369038573
125,83o,0.367619082
126,82o,0.361507207
164,42s,0.359986726
137,73o,0.359000541
155,53o,0.355093796
147,63o,0.353631168
167,32s,0.351847177
161,43o,0.343747824
138,72o,0.33944404
156,52o,0.335889304
148,62o,0.334250692
162,42o,0.324885946
166,32o,0.316243904
