hole_cards,average_equity
AA,0.6418
KK,0.5859
QQ,0.5391
JJ,0.4963
TT,0.4569
AKs,0.4252
99,0.4162
AQs,0.4107
AJs,0.3985
AKo,0.3966
KQs,0.3941
ATs,0.3875
KJs,0.3818
AQo,0.3811
88,0.3808
KTs,0.3712
QJs,0.3702
AJo,0.3675
KQo,0.3642
A9s,0.3618
QTs,0.3599
ATo,0.3559
JTs,0.3534
A8s,0.3532
KJo,0.3508
77,0.349
K9s,0.3453
A7s,0.3435
QJo,0.3396
KTo,0.3393
A5s,0.3389
Q9s,0.3341
A6s,0.3332
A4s,0.3309
QTo,0.3283
J9s,0.328
A9o,0.3279
T9s,0.3255
K8s,0.3251
A3s,0.3231
JTo,0.3224
66,0.3206
A8o,0.3183
K7s,0.3177
A2s,0.3144
Q8s,0.3138
K9o,0.3112
K6s,0.3096
A7o,0.308
J8s,0.3076
T8s,0.3053
K5s,0.3026
A5o,0.3025
98s,0.3006
Q9o,0.3004
A6o,0.2966
K4s,0.2949
55,0.2947
Q7s,0.2947
J9o,0.2946
A4o,0.2936
T9o,0.2928
K8o,0.2893
Q6s,0.2887
J7s,0.2881
K3s,0.2877
T7s,0.2859
A3o,0.2849
97s,0.2831
87s,0.2828
Q5s,0.2817
K7o,0.2814
K2s,0.2805
Q8o,0.2783
A2o,0.2756
Q4s,0.2743
J8o,0.2726
K6o,0.2725
T8o,0.271
J6s,0.2702
44,0.2688
T6s,0.2676
76s,0.2674
Q3s,0.2673
98o,0.2666
86s,0.2662
96s,0.2652
J5s,0.2652
K5o,0.2647
Q2s,0.2601
J4s,0.2579
Q7o,0.2576
K4o,0.2565
65s,0.2536
J7o,0.2518
75s,0.2513
Q6o,0.2511
J3s,0.2509
T5s,0.2507
T7o,0.2503
85s,0.2489
K3o,0.2484
87o,0.2477
95s,0.2477
97o,0.2476
33,0.2456
T4s,0.2454
J2s,0.2441
Q5o,0.2435
54s,0.2433
K2o,0.2405
T3s,0.2382
64s,0.2374
Q4o,0.2354
74s,0.2339
J6o,0.2322
T2s,0.2315
84s,0.2313
76o,0.2312
94s,0.2305
T6o,0.2303
86o,0.2296
96o,0.2282
Q3o,0.2275
53s,0.2272
J5o,0.2267
93s,0.2255
22,0.2251
63s,0.22
Q2o,0.2199
43s,0.219
92s,0.2189
J4o,0.2189
65o,0.2167
73s,0.2164
83s,0.2141
75o,0.214
T5o,0.2119
85o,0.2111
J3o,0.2111
52s,0.2103
82s,0.2094
95o,0.2093
T4o,0.2061
54o,0.2058
J2o,0.2035
42s,0.2032
62s,0.2028
72s,0.1997
64o,0.1993
T3o,0.1984
32s,0.1952
74o,0.1951
84o,0.192
T2o,0.1909
94o,0.1907
53o,0.1886
93o,0.1851
63o,0.1806
43o,0.1796
92o,0.1778
73o,0.1762
83o,0.1736
52o,0.1701
82o,0.1683
42o,0.1626
62o,0.162
72o,0.1583
32o,0.1539
